asset_name,zone,asset_type,relative_path,file_format,description,grain,primary_key,source_assets,record_count,column_count,publication_ready
olist_customers_dataset,raw_landing,source_table,data/raw/landing/olist/olist_customers_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,99441.0,5.0,False
olist_geolocation_dataset,raw_landing,source_table,data/raw/landing/olist/olist_geolocation_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,1000163.0,5.0,False
olist_order_items_dataset,raw_landing,source_table,data/raw/landing/olist/olist_order_items_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,112650.0,7.0,False
olist_order_payments_dataset,raw_landing,source_table,data/raw/landing/olist/olist_order_payments_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,103886.0,5.0,False
olist_order_reviews_dataset,raw_landing,source_table,data/raw/landing/olist/olist_order_reviews_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,99224.0,7.0,False
olist_orders_dataset,raw_landing,source_table,data/raw/landing/olist/olist_orders_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,99441.0,8.0,False
olist_products_dataset,raw_landing,source_table,data/raw/landing/olist/olist_products_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,32951.0,9.0,False
olist_sellers_dataset,raw_landing,source_table,data/raw/landing/olist/olist_sellers_dataset.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,3095.0,4.0,False
product_category_name_translation,raw_landing,source_table,data/raw/landing/olist/product_category_name_translation.csv,csv,Arquivo bruto do dataset Olist recebido sem transformação.,depende da tabela de origem,não aplicável na landing,dataset_olist_kaggle,71.0,2.0,False
olist_customers_dataset,standardized,standardized_table,data/standardized/olist/olist_customers_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,99441.0,5.0,False
olist_geolocation_dataset,standardized,standardized_table,data/standardized/olist/olist_geolocation_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,1000163.0,5.0,False
olist_order_items_dataset,standardized,standardized_table,data/standardized/olist/olist_order_items_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,112650.0,7.0,False
olist_order_payments_dataset,standardized,standardized_table,data/standardized/olist/olist_order_payments_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,103886.0,5.0,False
olist_order_reviews_dataset,standardized,standardized_table,data/standardized/olist/olist_order_reviews_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,99224.0,7.0,False
olist_orders_dataset,standardized,standardized_table,data/standardized/olist/olist_orders_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,99441.0,8.0,False
olist_products_dataset,standardized,standardized_table,data/standardized/olist/olist_products_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,32951.0,9.0,False
olist_sellers_dataset,standardized,standardized_table,data/standardized/olist/olist_sellers_dataset.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,3095.0,4.0,False
product_category_name_translation,standardized,standardized_table,data/standardized/olist/product_category_name_translation.parquet,parquet,Tabela padronizada em parquet para reuso técnico nas próximas etapas do pipeline.,mantém a granularidade da origem,mesma chave da origem quando aplicável,raw_landing/olist,71.0,2.0,False
fact_orders_enriched,curated_analytics,analytics_fact,data/curated/analytics/fact_orders_enriched.parquet,parquet,"Tabela analítica principal interna do projeto, pronta para SQL, qualidade e processamento analítico.",1 linha por item de pedido,order_id + order_item_id + product_id + seller_id,"olist_orders, olist_order_items, olist_products, olist_customers, olist_sellers, olist_order_payments, olist_order_reviews, product_category_name_translation",112650.0,60.0,False
fact_orders_enriched_quality_checks,curated_quality,quality_report_table,data/curated/quality/fact_orders_enriched_quality_checks.csv,csv,Resultado estruturado dos testes de qualidade da camada analítica.,1 linha por check,check_name,fact_orders_enriched,25.0,6.0,True
fact_orders_dashboard,published_dashboard,published_analytics_table,data/published/dashboard/fact_orders_dashboard.parquet,parquet,"Camada publicada e minimizada para consumo do dashboard Streamlit, com identificadores pseudonimizados.",1 linha por item de pedido,order_id + order_item_id,fact_orders_enriched,112650.0,34.0,True
logistics_slice,published_semantic,published_semantic_mart,data/published/semantic/logistics_slice.parquet,parquet,Mart agregado para leitura logística por período e geografia publicada.,1 linha por combinação agregada,order_year + order_month + customer_state + seller_state,fact_orders_dashboard,3821.0,10.0,True
seller_slice,published_semantic,published_semantic_mart,data/published/semantic/seller_slice.parquet,parquet,Mart agregado para desempenho de seller pseudonimizado.,1 linha por seller_key,seller_key,fact_orders_dashboard,3095.0,9.0,True
cohort_slice,published_semantic,published_semantic_mart,data/published/semantic/cohort_slice.parquet,parquet,Mart agregado para cohort e maturação de compra.,1 linha por cohort e mês relativo,purchase_cohort_month + cohort_order_month_number,fact_orders_dashboard,220.0,7.0,True
category_slice,published_semantic,published_semantic_mart,data/published/semantic/category_slice.parquet,parquet,"Mart agregado para leitura de categoria, receita, atraso e pagamento por mês.","1 linha por categoria, mês e meio de pagamento",order_year + order_month + product_category_name_english + payment_type_mode,fact_orders_dashboard,3263.0,11.0,True
state_performance_slice,published_semantic,published_semantic_mart,data/published/semantic/state_performance_slice.parquet,parquet,"Mart agregado para leitura executiva de receita, atraso e satisfação por UF e mês.",1 linha por UF e mês,order_year + order_month + customer_state,fact_orders_dashboard,559.0,11.0,True
published_layer_monitoring,published_monitoring,monitoring_result,data/published/monitoring/published_layer_monitoring.csv,csv,Resultado estruturado do monitoramento recorrente da camada publicada.,1 linha por check,check_name,fact_orders_dashboard,12.0,6.0,True
governance_scorecards,published_monitoring,governance_scorecard,data/published/monitoring/governance_scorecards.csv,csv,"Scorecards de governança por dataset com qualidade, contratos, privacidade e monitoramento.",1 linha por dimensão de scorecard e dataset,dataset_name + dimension,"fact_orders_enriched_quality_checks, privacy_governance_results, schema_contract_results, published_layer_monitoring",8.0,7.0,True
operational_job_results,curated_ops,operational_execution_log,data/curated/ops/operational_job_results.json,json,Resumo operacional do runner por etapa executada.,1 documento por execução,não aplicável,run_platform_pipeline,,,True
01_top_categories_by_revenue,curated_query_results,query_result,data/curated/query_results/01_top_categories_by_revenue.csv,csv,Resultado materializado de query SQL do projeto para documentação e leitura executiva.,depende da query,não aplicável,fact_orders_enriched,20.0,5.0,True
02_monthly_revenue_evolution,curated_query_results,query_result,data/curated/query_results/02_monthly_revenue_evolution.csv,csv,Resultado materializado de query SQL do projeto para documentação e leitura executiva.,depende da query,não aplicável,fact_orders_enriched,24.0,9.0,True
03_revenue_by_state,curated_query_results,query_result,data/curated/query_results/03_revenue_by_state.csv,csv,Resultado materializado de query SQL do projeto para documentação e leitura executiva.,depende da query,não aplicável,fact_orders_enriched,27.0,6.0,True
04_delivery_delay_by_category,curated_query_results,query_result,data/curated/query_results/04_delivery_delay_by_category.csv,csv,Resultado materializado de query SQL do projeto para documentação e leitura executiva.,depende da query,não aplicável,fact_orders_enriched,54.0,6.0,True
05_payment_method_distribution,curated_query_results,query_result,data/curated/query_results/05_payment_method_distribution.csv,csv,Resultado materializado de query SQL do projeto para documentação e leitura executiva.,depende da query,não aplicável,fact_orders_enriched,5.0,6.0,True
query_execution_manifest,curated_query_results,query_result,data/curated/query_results/query_execution_manifest.csv,csv,Resultado materializado de query SQL do projeto para documentação e leitura executiva.,depende da query,não aplicável,fact_orders_enriched,5.0,5.0,True
all_columns_profile,staging_profiling,profiling_asset,data/staging/profiling/all_columns_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,52.0,6.0,False
all_duplicate_profile,staging_profiling,profiling_asset,data/staging/profiling/all_duplicate_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,9.0,4.0,False
all_nulls_profile,staging_profiling,profiling_asset,data/staging/profiling/all_nulls_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,52.0,4.0,False
all_possible_keys,staging_profiling,profiling_asset,data/staging/profiling/all_possible_keys.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,13.0,7.0,False
olist_customers_dataset_columns_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_customers_dataset_columns_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,5.0,6.0,False
olist_customers_dataset_duplicate_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_customers_dataset_duplicate_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,1.0,4.0,False
olist_customers_dataset_nulls_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_customers_dataset_nulls_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,5.0,4.0,False
olist_customers_dataset_possible_keys,staging_profiling,profiling_asset,data/staging/profiling/olist_customers_dataset_possible_keys.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,2.0,6.0,False
olist_geolocation_dataset_columns_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_geolocation_dataset_columns_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,5.0,6.0,False
olist_geolocation_dataset_duplicate_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_geolocation_dataset_duplicate_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,1.0,4.0,False
olist_geolocation_dataset_nulls_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_geolocation_dataset_nulls_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,5.0,4.0,False
olist_geolocation_dataset_possible_keys,staging_profiling,profiling_asset,data/staging/profiling/olist_geolocation_dataset_possible_keys.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,0.0,6.0,False
olist_order_items_dataset_columns_profile,staging_profiling,profiling_asset,data/staging/profiling/olist_order_items_dataset_columns_profile.csv,csv,Artefato intermediário de profiling e análise exploratória.,depende do ativo de profiling,não aplicável,raw_landing/olist,7.0,6.0,False
