date_key,order_date,year,quarter,month,month_name,year_month,week_of_year,day,weekday_name
20160904,2016-09-04,2016,Q3,9,Sep,2016-09,35,4,Sunday
20160905,2016-09-05,2016,Q3,9,Sep,2016-09,36,5,Monday
20160915,2016-09-15,2016,Q3,9,Sep,2016-09,37,15,Thursday
20161002,2016-10-02,2016,Q4,10,Oct,2016-10,39,2,Sunday
20161003,2016-10-03,2016,Q4,10,Oct,2016-10,40,3,Monday
20161004,2016-10-04,2016,Q4,10,Oct,2016-10,40,4,Tuesday
20161005,2016-10-05,2016,Q4,10,Oct,2016-10,40,5,Wednesday
20161006,2016-10-06,2016,Q4,10,Oct,2016-10,40,6,Thursday
20161007,2016-10-07,2016,Q4,10,Oct,2016-10,40,7,Friday
20161008,2016-10-08,2016,Q4,10,Oct,2016-10,40,8,Saturday
20161009,2016-10-09,2016,Q4,10,Oct,2016-10,40,9,Sunday
20161010,2016-10-10,2016,Q4,10,Oct,2016-10,41,10,Monday
20161223,2016-12-23,2016,Q4,12,Dec,2016-12,51,23,Friday
20170105,2017-01-05,2017,Q1,1,Jan,2017-01,1,5,Thursday
20170106,2017-01-06,2017,Q1,1,Jan,2017-01,1,6,Friday
20170107,2017-01-07,2017,Q1,1,Jan,2017-01,1,7,Saturday
20170108,2017-01-08,2017,Q1,1,Jan,2017-01,1,8,Sunday
20170109,2017-01-09,2017,Q1,1,Jan,2017-01,2,9,Monday
20170110,2017-01-10,2017,Q1,1,Jan,2017-01,2,10,Tuesday
20170111,2017-01-11,2017,Q1,1,Jan,2017-01,2,11,Wednesday
20170112,2017-01-12,2017,Q1,1,Jan,2017-01,2,12,Thursday
20170113,2017-01-13,2017,Q1,1,Jan,2017-01,2,13,Friday
20170114,2017-01-14,2017,Q1,1,Jan,2017-01,2,14,Saturday
20170115,2017-01-15,2017,Q1,1,Jan,2017-01,2,15,Sunday
20170116,2017-01-16,2017,Q1,1,Jan,2017-01,3,16,Monday
20170117,2017-01-17,2017,Q1,1,Jan,2017-01,3,17,Tuesday
20170118,2017-01-18,2017,Q1,1,Jan,2017-01,3,18,Wednesday
20170119,2017-01-19,2017,Q1,1,Jan,2017-01,3,19,Thursday
20170120,2017-01-20,2017,Q1,1,Jan,2017-01,3,20,Friday
20170121,2017-01-21,2017,Q1,1,Jan,2017-01,3,21,Saturday
20170122,2017-01-22,2017,Q1,1,Jan,2017-01,3,22,Sunday
20170123,2017-01-23,2017,Q1,1,Jan,2017-01,4,23,Monday
20170124,2017-01-24,2017,Q1,1,Jan,2017-01,4,24,Tuesday
20170125,2017-01-25,2017,Q1,1,Jan,2017-01,4,25,Wednesday
20170126,2017-01-26,2017,Q1,1,Jan,2017-01,4,26,Thursday
