product_key;product_category_name;product_category_name_english;category_label;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm
product_id_000022cbccdefc3f;utilidades_domesticas;housewares;housewares;40.0;200.0;1.0;1150.0;40.0;10.0;35.0
product_id_00017e4ef4a82b9e;esporte_lazer;sports_leisure;sports_leisure;56.0;898.0;6.0;1800.0;72.0;22.0;11.0
product_id_0009088536c878a1;moveis_decoracao;furniture_decor;furniture_decor;59.0;2010.0;2.0;1450.0;69.0;11.0;11.0
product_id_000ccd715d7502d9;esporte_lazer;sports_leisure;sports_leisure;57.0;576.0;1.0;1800.0;26.0;18.0;18.0
product_id_0010c8ae92a7aa60;artes;art;art;28.0;189.0;2.0;700.0;30.0;6.0;30.0
product_id_00152a3fe772f9f2;casa_construcao;home_construction;home_construction;59.0;664.0;1.0;8700.0;30.0;35.0;30.0
product_id_00156b4f1d311e69;beleza_saude;health_beauty;health_beauty;30.0;673.0;2.0;575.0;18.0;11.0;16.0
product_id_0015ea0a867de9fe;moveis_decoracao;furniture_decor;furniture_decor;58.0;1037.0;5.0;400.0;35.0;7.0;27.0
product_id_0018bca161f9f679;relogios_presentes;watches_gifts;watches_gifts;49.0;389.0;1.0;525.0;23.0;6.0;21.0
product_id_0019c521f8609d99;telefonia;telephony;telephony;49.0;382.0;2.0;200.0;19.0;4.0;11.0
product_id_002140bce6965872;perfumaria;perfumery;perfumery;41.0;300.0;2.0;200.0;16.0;16.0;16.0
product_id_0021880cf225b061;beleza_saude;health_beauty;health_beauty;41.0;1096.0;1.0;150.0;19.0;8.0;13.0
product_id_0022b00ba165bd1d;brinquedos;toys;toys;33.0;1936.0;1.0;2150.0;33.0;23.0;33.0
product_id_00262fafbc221cdc;telefonia;telephony;telephony;31.0;580.0;2.0;100.0;16.0;3.0;11.0
product_id_00275981eb8be7df;informatica_acessorios;computers_accessories;computers_accessories;58.0;577.0;2.0;1400.0;22.0;9.0;16.0
product_id_0028fc7e73be5256;moveis_decoracao;furniture_decor;furniture_decor;32.0;950.0;1.0;600.0;20.0;56.0;20.0
product_id_002a7b54e4f012c7;beleza_saude;health_beauty;health_beauty;35.0;675.0;1.0;185.0;16.0;14.0;12.0
product_id_002ab1115bd4f2c9;beleza_saude;health_beauty;health_beauty;35.0;1830.0;1.0;3400.0;21.0;25.0;20.0
product_id_002c232d55f58815;brinquedos;toys;toys;43.0;275.0;1.0;600.0;33.0;3.0;13.0
product_id_002cb41d2585db19;esporte_lazer;sports_leisure;sports_leisure;31.0;248.0;2.0;850.0;60.0;15.0;15.0
product_id_002ce60deeb7bdf4;esporte_lazer;sports_leisure;sports_leisure;46.0;541.0;1.0;50.0;16.0;24.0;13.0
product_id_003604f29f4ed796;casa_conforto;home_confort;home_confort;55.0;292.0;1.0;5550.0;45.0;15.0;35.0
product_id_00366a134b3d05e1;construcao_ferramentas_construcao;construction_tools_construction;construction_tools_construction;34.0;797.0;1.0;958.0;29.0;18.0;25.0
product_id_0037fea1d3b27490;utilidades_domesticas;housewares;housewares;57.0;582.0;1.0;4550.0;30.0;28.0;28.0
product_id_003856a0ad63bbc5;cama_mesa_banho;bed_bath_table;bed_bath_table;53.0;811.0;1.0;1625.0;43.0;8.0;31.0
product_id_0038fe11142b0af7;informatica_acessorios;computers_accessories;computers_accessories;46.0;2604.0;2.0;5879.0;30.0;25.0;19.0
product_id_003a7e5d17656987;construcao_ferramentas_seguranca;construction_tools_safety;construction_tools_safety;57.0;1230.0;1.0;700.0;60.0;10.0;20.0
product_id_003c3b45c2e1be16;pc_gamer;;pc_gamer;60.0;1532.0;3.0;650.0;16.0;22.0;20.0
product_id_004221dfb1e60d0d;construcao_ferramentas_iluminacao;construction_tools_lights;construction_tools_lights;58.0;341.0;1.0;5250.0;50.0;50.0;50.0
product_id_0044d11a8c799eb2;esporte_lazer;sports_leisure;sports_leisure;42.0;2034.0;1.0;800.0;25.0;25.0;25.0
product_id_0045402fc64d8c3e;utilidades_domesticas;housewares;housewares;56.0;743.0;1.0;5050.0;36.0;31.0;27.0
product_id_0047d21d6b65ed8b;beleza_saude;health_beauty;health_beauty;60.0;516.0;1.0;1125.0;29.0;25.0;16.0
product_id_004c993ef09a3152;ferramentas_jardim;garden_tools;garden_tools;58.0;986.0;2.0;1100.0;30.0;23.0;20.0
product_id_004d30da91fe4b03;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;53.0;1359.0;1.0;100.0;16.0;2.0;11.0
