seller_key,seller_state
seller_id_0003cfcdbdadf398,SP
seller_id_0013d437f0ecb916,SP
seller_id_001ce01e008d8c46,SP
seller_id_0028951d40ab609d,RJ
seller_id_003ed2ead1473418,SP
seller_id_0044549204d371c6,SC
seller_id_0052913d5a70acc9,SP
seller_id_00773b717c204745,RJ
seller_id_00b631d82c5bdecb,SP
seller_id_00c92241c161e48a,SP
seller_id_00d8e1103e1bc8b6,PE
seller_id_010c64cedac9d671,SP
seller_id_012823347f07cefe,DF
seller_id_013e667a5aca0fb6,SP
seller_id_014ecedcf060608f,SP
seller_id_0165f569e31e5edc,SP
seller_id_0172b842c15b0eda,RS
seller_id_017a34ed87bb8543,SP
seller_id_0191f856bd441d1e,SP
seller_id_019fe03b4bbe23e6,SP
seller_id_01ba90508205c48b,GO
seller_id_01be33cdc2945763,SP
seller_id_01de040e898ff399,SP
seller_id_01ea69d71e462826,SP
seller_id_01eda4b3cb0afe1c,SP
seller_id_01f1d493f8f98698,PR
seller_id_01f8009b1ef6d2a6,SP
seller_id_01fbba27a5b27ba3,SP
seller_id_0206b3362a1fda8a,MG
seller_id_0211fb6057d4dc68,SP
seller_id_0240e89bafd55bbc,RS
seller_id_025114e60ad66fcc,SP
seller_id_0251c33d8dc0522e,RJ
seller_id_026a1096491a09a4,SP
seller_id_028fb1a43d4289a8,SP
seller_id_0290550db321df15,SP
seller_id_029357c498bf360d,SP
seller_id_02a369717d386910,PR
seller_id_02f8435ee59e806a,SP
seller_id_0313e9883425a675,BA
seller_id_03314e13f4d85f59,SP
seller_id_0343345a9f1cce22,SP
seller_id_03515c48f2efe20d,SP
seller_id_0371002d60aaf196,SP
seller_id_03778237e57a697c,SP
seller_id_0379551fd730176e,SC
seller_id_037f466e3e1fdc87,SP
seller_id_038c18c759374fea,MG
seller_id_038ce9bf4cac7974,SP
seller_id_03913fefdbf38ae6,PR
seller_id_039c09e9d9fd2085,SP
seller_id_03ad8959f0565651,MG
seller_id_03b4223bfb177239,RJ
seller_id_03c0a22963435e03,SP
seller_id_03c4c04bd97a2d94,SP
seller_id_0427a517eba4064f,SP
seller_id_049f4b825aa73863,MG
seller_id_04ac86b5932b9b43,SP
seller_id_04cb9ed52a59b620,SP
seller_id_04dae1c6156d290e,SP
seller_id_04db44597a2cf63e,RJ
seller_id_04ddff07cb2630eb,SC
seller_id_050eabbce39a688c,SP
seller_id_0533c93140022c09,SP
seller_id_0561501b328151e6,PR
seller_id_056903b1c9e03a2f,SC
seller_id_0569544db1e82076,SP
seller_id_057d132c51afb0d9,RS
seller_id_057f132bb4e85ced,SP
seller_id_058dbcac864352f0,ES
seller_id_05c7b1ebe083e5d9,SP
seller_id_05c829ac3feabf43,SP
seller_id_05dd09e5e7f105dc,RJ
seller_id_05e34dbaf1abc795,SC
seller_id_05e440cdf9f9cf74,MG
seller_id_061432a6b5266776,SP
seller_id_062a29b5bcc776ba,SP
seller_id_06352f2c73fcdfac,SP
seller_id_06520960cc2789e4,RJ
seller_id_0690a5d94ce22422,SP
seller_id_0692087d9beb6b1e,SP
seller_id_06aec4480a107a4c,SP
seller_id_06cc0da1812509f3,SP
seller_id_06cc3bacc9e43779,SP
seller_id_06db03a1be9fc590,SP
seller_id_06dbb2c6b7d69bdc,SP
seller_id_06f1359a5b398df6,SP
seller_id_06f36f6b6aaebdd8,SP
seller_id_06fc8592ea4551a3,SP
seller_id_07041666ecb85f53,SP
seller_id_071b90692384b342,SC
seller_id_07251f06968f878a,SP
seller_id_075cef8b85460a7e,SP
seller_id_076716d1ae7fa727,PR
seller_id_0790ca692afe5318,SP
seller_id_0792942239145525,SP
seller_id_07a745e4615cff3c,RS
seller_id_07b0a20ed4ea5c53,SP
seller_id_07b6f25b98f0d66a,SP
seller_id_07b8c611b30d18b7,SP
seller_id_07bb3b1449952cd0,SP
seller_id_07e1fbde769ab8cd,SP
seller_id_07e3f07f74339faa,SP
seller_id_07e896dddb191375,RS
seller_id_07f542c94037dfd9,PR
seller_id_07f9fdf4b759c39d,MG
seller_id_07fb03cb11c73723,RJ
seller_id_0822a9cb049721c1,SP
seller_id_0848ee8502abb9a0,SP
seller_id_084c43be87f155de,SC
seller_id_08654faf807dd5ab,SP
seller_id_08890150cfbeff95,SP
seller_id_089861561db00b6d,SP
seller_id_089bb75f55f1c13a,SP
seller_id_08a835c3c3f1ea35,SP
seller_id_08bb12320f1b00ff,PR
seller_id_08c43c59b7eb0d83,PR
seller_id_08c9db162e686d81,RJ
seller_id_08cd6868e1ea5360,SP
seller_id_08e71de5562eec4c,BA
seller_id_09036082f3b1a03f,RS
seller_id_090c317f0836d2db,SP
seller_id_091639608e76e29b,SP
seller_id_091f8452fd60ce5c,SP
seller_id_0922834aab723cba,RS
seller_id_0945ff01b3e1e52d,SP
seller_id_0951c06e662cbfba,SP
seller_id_0956444d952cffde,SC
seller_id_095766f5c76ec04e,PR
seller_id_098d7478d44b5429,SP
seller_id_0992ee18853518d0,MG
seller_id_099a2e31b7a65556,SP
seller_id_09f19e5341c8dfa8,PE
seller_id_09fcff5dcf458f59,MG
seller_id_0a00d7914e6c3122,SP
seller_id_0a0406913fd533c1,SC
seller_id_0a05bb2a30eda837,SP
seller_id_0a1990ef511f7cc7,PR
seller_id_0a219bec11ef84c4,RJ
seller_id_0a25a49ff6b3cb1a,DF
seller_id_0a3eddd44da823ca,PR
seller_id_0aa540b30d249df9,SP
seller_id_0ab723d423a3a562,SP
seller_id_0afd330656eea5fe,RS
seller_id_0b19c308adf1dc17,SP
seller_id_0b299268bed5f5a7,SP
seller_id_0b4625aad91663d0,SP
seller_id_0b52792edf76179d,SP
seller_id_0b5e67054f196ccf,GO
seller_id_0b744fa22c94d6fb,PR
seller_id_0b9ccd5740f7bc64,SP
seller_id_0bc63a901e512629,SP
seller_id_0c0dbbb7400ce5ba,SP
seller_id_0c11c2d5e9eda722,PR
seller_id_0c2082136b72635b,SP
seller_id_0c2c50577ce7ca24,PR
