check_name,status,metric_value,threshold,severity,details
published_file_freshness_hours,FAIL,46.33,36.0,high,Ultima modificacao UTC: 2026-04-03T02:18:19.007156+00:00
published_expected_schema,PASS,0.0,0.0,high,Colunas ausentes: nenhuma
published_primary_key_duplicates,PASS,0.0,0.0,high,Duplicidades na granularidade publicada `order_id + order_item_id`.
published_min_rows,PASS,112650.0,100001.0,high,Volume minimo esperado para a camada publicada.
published_critical_nulls__order_id,PASS,0.0,0.0,high,Nulos observados na coluna `order_id`.
published_critical_nulls__order_item_id,PASS,0.0,0.0,high,Nulos observados na coluna `order_item_id`.
published_critical_nulls__seller_key,PASS,0.0,0.0,high,Nulos observados na coluna `seller_key`.
published_critical_nulls__order_purchase_timestamp,PASS,0.0,0.0,high,Nulos observados na coluna `order_purchase_timestamp`.
published_critical_nulls__price,PASS,0.0,0.0,high,Nulos observados na coluna `price`.
published_critical_nulls__freight_value,PASS,0.0,0.0,high,Nulos observados na coluna `freight_value`.
published_missing_pct__purchase_cohort_month,PASS,0.0,0.0,medium,Cobertura da semantica de cohort.
published_missing_pct__seller_delay_rate,PASS,0.0,1.0,medium,Cobertura da semantica de seller.
