purchase_cohort_month,cohort_order_month_number,customers,orders,items,avg_ticket,delayed_rate
2016-09,0,3,3,6,59.125,0.5
2016-10,0,305,308,363,156.49818181818182,0.008264462809917356
2016-12,0,1,1,1,19.62,0.0
2017-01,0,754,788,954,143.78288259958072,0.027253668763102725
2017-01,1,1,1,1,19.62,0.0
2017-02,0,1705,1730,1948,146.87360882956878,0.03182751540041068
2017-02,1,3,3,3,56.943333333333335,0.0
2017-03,0,2595,2635,2994,144.08743152972613,0.05444221776887107
2017-03,1,4,4,4,134.03,0.0
2017-03,2,2,2,2,57.35000000000001,0.0
2017-04,0,2339,2370,2657,154.25503951825368,0.07113285660519383
2017-04,1,13,14,19,94.4721052631579,0.21052631578947367
2017-04,2,5,5,6,95.105,0.0
2017-04,3,1,1,1,89.7,0.0
2017-04,6,1,1,1,111.3,0.0
2017-05,0,3560,3631,4104,141.60620126705652,0.03679337231968811
2017-05,1,14,15,17,172.76470588235293,0.0
2017-05,2,9,9,10,173.712,0.0
2017-05,3,2,2,2,59.364999999999995,0.0
2017-05,4,3,3,3,82.08333333333333,0.0
2017-06,0,3114,3173,3534,140.62916808149404,0.03678551216751556
2017-06,1,17,18,22,90.08045454545454,0.0
2017-06,2,5,6,6,156.73333333333335,0.0
2017-06,3,10,12,12,153.00833333333335,0.08333333333333333
2017-06,4,7,7,8,143.995,0.0
2017-06,5,1,1,1,69.33,0.0
2017-07,0,3843,3916,4447,129.31742523049246,0.0350798290982685
2017-07,1,15,15,23,173.91521739130437,0.043478260869565216
2017-07,2,17,18,26,117.155,0.07692307692307693
2017-07,3,4,5,5,151.642,0.0
2017-07,4,9,9,10,121.397,0.0
2017-07,5,2,2,2,37.105,0.0
2017-07,6,3,3,5,89.686,0.2
2017-07,9,1,1,1,356.13,0.0
2017-08,0,4149,4228,4829,136.03456823358874,0.03002692068751294
2017-08,1,20,22,25,122.82,0.04
2017-08,2,11,12,18,114.45222222222222,0.16666666666666666
2017-08,3,14,14,17,119.95,0.0
2017-08,4,8,8,10,189.64000000000001,0.0
2017-08,5,4,4,4,358.34749999999997,0.25
2017-08,6,4,4,5,137.784,0.2
2017-08,7,1,1,2,52.584999999999994,0.0
2017-09,0,4090,4162,4737,149.57522482583914,0.04939835338822039
2017-09,1,28,29,37,136.66945945945946,0.10810810810810811
2017-09,2,14,14,16,114.04625,0.0
2017-09,3,12,12,13,110.24,0.07692307692307693
2017-09,4,11,11,11,115.52636363636363,0.18181818181818182
2017-09,5,6,6,7,172.61999999999998,0.0
2017-09,6,4,4,5,137.83599999999998,0.4
2017-09,7,3,3,3,91.43333333333334,0.0
2017-09,8,1,1,1,47.05,0.0
2017-09,11,1,1,1,56.78,0.0
2017-10,0,4412,4474,5198,145.3941823778376,0.05040400153905348
2017-10,1,28,28,35,104.55228571428572,0.02857142857142857
2017-10,2,14,16,23,96.91434782608694,0.0
2017-10,3,9,9,11,105.12000000000002,0.09090909090909091
2017-10,4,8,8,11,124.99000000000001,0.0
2017-10,5,12,14,17,99.88294117647058,0.0
2017-10,6,8,9,17,122.57647058823531,0.0
2017-10,7,8,8,8,110.92750000000001,0.0
2017-10,8,2,2,2,232.305,0.0
2017-11,0,7217,7320,8508,136.47282322519982,0.13563704748472027
2017-11,1,31,33,39,113.93820512820513,0.07692307692307693
