seller_key,seller_state,seller_volume_tier,total_items,seller_order_count,avg_ticket,avg_delivery_time_days,delay_rate,avg_review_score
seller_id_0206b3362a1fda8a,MG,core,129,116,93.95906976744186,8.056528862847223,0.023255813953488372,4.007751937984496
seller_id_0371002d60aaf196,SP,core,454,420,117.4113436123348,14.63096879671151,0.10572687224669604,3.89532293986637
seller_id_049f4b825aa73863,MG,core,113,108,113.75115044247788,15.247500736531986,0.05309734513274336,3.794392523364486
seller_id_04db44597a2cf63e,RJ,core,140,129,132.42107142857142,12.556171063149481,0.07857142857142857,4.3428571428571425
seller_id_07251f06968f878a,SP,core,327,312,122.3405504587156,16.15309012891509,0.13149847094801223,3.717391304347826
seller_id_07e3f07f74339faa,SP,core,155,152,307.808,16.425508269371345,0.12903225806451613,4.15483870967742
seller_id_0945ff01b3e1e52d,SP,core,181,162,158.4006629834254,12.603594933712122,0.12154696132596685,4.1602209944751385
seller_id_09f19e5341c8dfa8,PE,core,379,339,171.8014511873351,12.76760370615974,0.0395778364116095,4.159151193633952
seller_id_0b9ccd5740f7bc64,SP,core,149,130,46.416510067114096,12.633741688416604,0.10067114093959731,3.9054054054054053
seller_id_0c797b7ae27a970f,SP,core,200,187,127.02065,12.486274734442565,0.07,3.91
seller_id_0d6544e430474adc,RS,core,339,305,113.0215634218289,10.805449647656506,0.05604719764011799,4.362426035502959
seller_id_0f8216dab94833fb,PR,core,131,129,135.03870229007634,10.75119756054131,0.061068702290076333,4.346153846153846
seller_id_10ebca1352bab320,SP,core,144,130,113.36034722222222,13.146437775187776,0.09722222222222222,4.02112676056338
seller_id_12a0a60d050041ac,PR,core,234,199,97.46675213675215,14.452987067230273,0.0641025641025641,3.769396551724138
seller_id_137092640d92058c,PR,core,180,174,343.4989444444444,15.232024292550978,0.1,3.897727272727273
seller_id_14e143994120be82,MG,core,130,124,60.867,9.722531919126157,0.038461538461538464,4.492307692307692
seller_id_15a5b70fbe0ffc92,SP,core,410,402,76.0319756097561,9.222865951696772,0.1073170731707317,4.044226044226044
seller_id_1624123ca7a9bebe,SP,core,139,127,91.84683453237409,11.062386923794298,0.11510791366906475,4.158273381294964
seller_id_1673492dacfe7f45,SP,core,180,161,79.91472222222222,10.33649470899471,0.06111111111111111,3.8944444444444444
seller_id_174dcda74322c496,MG,core,220,182,97.52650000000001,12.583845300288822,0.05,4.032110091743119
seller_id_17bd5768b5d4e120,SP,core,125,117,122.0068,16.937258251194745,0.152,3.774193548387097
seller_id_194b35d93d91d41d,SP,core,430,397,75.32990697674418,8.16848548078595,0.046511627906976744,4.28169014084507
seller_id_1a2b28ca917c344f,SP,core,259,245,162.9234749034749,15.219363906177962,0.10424710424710425,3.8443579766536966
seller_id_1b5db2140a11ea39,SC,core,118,108,65.71754237288135,10.976750333490271,0.01694915254237288,4.327586206896552
seller_id_1cc29d30f56a317f,SP,core,231,195,91.09484848484848,12.488878352848365,0.05627705627705628,4.138528138528138
seller_id_1d1fc7d060b63886,MG,core,269,247,133.274312267658,14.082570138021916,0.07063197026022305,4.2434456928838955
seller_id_1e2a6d23a75a6a7b,SP,core,268,255,229.86268656716416,14.041841435185184,0.07835820895522388,4.139097744360902
seller_id_1e3239632d603e80,SP,core,165,138,68.27424242424243,8.603689700502972,0.01818181818181818,4.213414634146342
seller_id_1e65c2267ab58947,MG,core,148,121,122.34168918918918,10.838898148148148,0.02027027027027027,3.643835616438356
seller_id_278d7b51ca361d81,PR,core,142,136,196.1624647887324,14.306008972019464,0.04225352112676056,3.397163120567376
