order_year,order_month,customer_state,orders,items,active_sellers,revenue,avg_ticket,delayed_rate,avg_delivery_time_days,avg_review_score
2016,9,RR,1,2,1,136.23,68.115,0.0,,1.0
2016,9,RS,1,1,1,75.06,75.06,0.0,,1.0
2016,9,SP,1,3,1,143.46,47.82,1.0,54.81319444444444,1.0
2016,10,AL,2,2,2,129.89999999999998,64.94999999999999,0.0,33.0643287037037,2.5
2016,10,BA,4,4,4,995.3399999999999,248.83499999999998,0.0,20.779996141975307,3.5
2016,10,CE,7,7,6,1949.78,278.54,0.0,27.2327449845679,4.833333333333333
2016,10,DF,6,8,6,1200.11,150.01375,0.0,23.769296875,2.875
2016,10,ES,4,4,4,1067.14,266.785,0.0,24.800779320987655,3.25
2016,10,GO,8,8,6,1154.67,144.33375,0.0,14.137180886243387,4.5
2016,10,MA,4,9,4,998.85,110.98333333333333,0.1111111111111111,24.238535236625513,4.875
2016,10,MG,40,48,33,5620.55,117.09479166666667,0.0,19.911943850902187,3.297872340425532
2016,10,MT,2,3,2,502.63,167.54333333333332,0.0,7.024340277777778,3.6666666666666665
2016,10,PA,4,6,4,1283.09,213.84833333333333,0.0,29.077555941358025,3.8333333333333335
2016,10,PB,1,1,1,74.74,74.74,0.0,37.719479166666666,5.0
2016,10,PE,7,7,7,1688.49,241.21285714285713,0.0,18.03738811728395,4.428571428571429
2016,10,PI,1,1,1,246.09,246.09,0.0,27.18378472222222,4.0
2016,10,PR,19,29,17,2475.1,85.34827586206896,0.0,15.156419620051086,3.4482758620689653
2016,10,RJ,49,55,33,12347.6,224.50181818181818,0.0,19.62935870181406,3.25
2016,10,RN,4,5,4,881.3400000000001,176.26800000000003,0.0,28.152490740740745,5.0
2016,10,RR,1,1,1,69.02000000000001,69.02000000000001,0.0,8.58306712962963,4.0
2016,10,RS,23,25,22,4637.91,185.5164,0.0,18.936327614379085,3.4
2016,10,SC,10,14,9,2654.23,189.58785714285713,0.0,22.618322585978834,3.7142857142857144
2016,10,SE,3,3,3,345.92,115.30666666666667,0.0,30.503271604938273,4.666666666666667
2016,10,SP,109,123,72,16486.34,134.03528455284552,0.016260162601626018,18.060426647978254,3.6341463414634148
2016,12,PR,1,1,1,19.62,19.62,0.0,4.693020833333334,5.0
2017,1,AC,2,4,1,723.14,180.785,0.0,19.833532986111113,2.0
2017,1,AL,2,3,2,454.36,151.45333333333335,0.0,15.470570987654321,3.6666666666666665
2017,1,BA,25,30,20,4511.37,150.379,0.03333333333333333,15.306691012132823,3.9
2017,1,CE,9,9,9,1266.13,140.68111111111114,0.1111111111111111,25.564733796296295,3.7777777777777777
2017,1,DF,13,15,14,2104.75,140.31666666666666,0.2,23.641635030864197,3.4
2017,1,ES,11,11,10,2492.58,226.5981818181818,0.09090909090909091,16.522204218106996,3.4545454545454546
2017,1,GO,18,34,18,4658.29,137.0085294117647,0.0,14.059269812091502,4.676470588235294
2017,1,MA,7,7,7,798.1,114.01428571428572,0.14285714285714285,24.799463734567905,4.142857142857143
2017,1,MG,106,134,67,18615.96,138.92507462686567,0.0,10.982846955128204,4.330827067669173
2017,1,MS,1,1,1,170.36,170.36,0.0,11.65431712962963,5.0
2017,1,MT,11,15,11,2303.69,153.57933333333332,0.0,15.269295762108262,2.8666666666666667
2017,1,PA,12,13,12,2777.77,213.67461538461538,0.0,15.086317129629629,4.230769230769231
2017,1,PB,2,2,2,463.12999999999994,231.56499999999997,0.0,11.21314236111111,4.5
2017,1,PE,9,9,9,2151.93,239.10333333333332,0.1111111111111111,20.816387602880656,4.25
2017,1,PI,7,7,7,1453.98,207.71142857142857,0.0,15.076003637566137,4.714285714285714
2017,1,PR,65,71,31,6483.24,91.31323943661971,0.028169014084507043,11.921682559425097,4.126760563380282
2017,1,RJ,96,108,60,14747.45,136.55046296296297,0.046296296296296294,14.204415003595829,3.8221153846153846
2017,1,RN,5,5,5,1268.13,253.62600000000003,0.0,10.292210648148147,4.8
2017,1,RO,3,3,3,825.51,275.17,0.0,28.514918981481483,3.0
2017,1,RS,53,65,43,13615.9,209.4753846153846,0.015384615384615385,12.764591416813639,4.140625
2017,1,SC,31,39,26,7301.31,187.21307692307693,0.05128205128205128,18.05677832244009,3.871794871794872
2017,1,SE,4,4,4,381.78,95.445,0.0,13.250896990740742,4.75
2017,1,SP,295,364,146,46942.770000000004,128.96365384615385,0.02197802197802198,10.331463725799663,4.061111111111111
2017,1,TO,2,2,2,676.8599999999999,338.42999999999995,0.0,13.320248842592594,4.5
2017,2,AC,3,6,3,597.4,99.56666666666666,0.0,26.215358796296297,5.0
2017,2,AL,12,12,12,2967.87,247.3225,0.08333333333333333,28.726516203703707,4.333333333333333
2017,2,AM,8,8,6,1122.54,140.3175,0.0,16.840549768518517,4.875
2017,2,AP,2,6,2,707.1999999999999,117.86666666666666,0.0,16.15709490740741,4.166666666666667
2017,2,BA,59,63,54,8635.5,137.07142857142858,0.07936507936507936,21.372892398446837,3.857142857142857
2017,2,CE,13,14,13,2483.53,177.395,0.07142857142857142,20.495754794973546,4.428571428571429
2017,2,DF,24,25,22,10867.46,434.6984,0.0,11.930320391414142,4.166666666666667
2017,2,ES,34,39,29,5427.13,139.1571794871795,0.05128205128205128,19.741516525205764,3.8378378378378377
2017,2,GO,27,29,24,3000.67,103.47137931034483,0.034482758620689655,21.33716257122507,3.896551724137931
2017,2,MA,11,11,11,1195.23,108.65727272727273,0.0,15.553945707070708,4.636363636363637
2017,2,MG,251,287,131,35270.2,122.89268292682925,0.006968641114982578,12.296754148080563,4.034843205574913
2017,2,MS,11,12,11,7910.9400000000005,659.245,0.08333333333333333,20.108688271604937,4.583333333333333
2017,2,MT,17,20,15,3583.36,179.168,0.0,18.141696180555556,3.65
2017,2,PA,25,29,24,10958.21,377.86931034482757,0.0,18.645068587105623,4.241379310344827
2017,2,PB,12,12,12,2544.2999999999997,212.02499999999998,0.08333333333333333,20.582323232323233,4.090909090909091
2017,2,PE,20,21,19,3320.02,158.0961904761905,0.047619047619047616,18.18891975308642,4.238095238095238
2017,2,PI,12,14,11,3721.8500000000004,265.8464285714286,0.0,18.686611952861952,3.5714285714285716
2017,2,PR,112,129,85,21332.579999999998,165.3688372093023,0.031007751937984496,13.786021708223972,4.0234375
2017,2,RJ,246,283,148,38120.86,134.70268551236748,0.0353356890459364,12.269861154622667,4.0285714285714285
2017,2,RN,8,10,7,648.61,64.861,0.0,16.550931712962964,4.5
2017,2,RO,10,13,11,2051.96,157.84307692307692,0.0,18.715741705246916,3.5384615384615383
2017,2,RR,2,2,2,108.74,54.37,0.0,9.302783564814815,4.0
2017,2,RS,104,115,75,18324.02,159.3393043478261,0.06956521739130435,15.716971763430097,4.060869565217391
2017,2,SC,58,63,53,8148.19,129.3363492063492,0.047619047619047616,15.51975078405018,3.8524590163934427
2017,2,SE,12,15,12,2404.98,160.332,0.0,18.169116512345678,4.266666666666667
2017,2,SP,633,706,266,89887.72,127.31971671388102,0.031161473087818695,9.93124269462491,4.073758865248227
2017,2,TO,7,7,7,939.5500000000001,134.2214285714286,0.0,16.086931216931216,4.285714285714286
2017,3,AC,2,2,2,530.1800000000001,265.09000000000003,0.0,20.166927083333334,4.5
2017,3,AL,10,10,10,1421.5,142.15,0.2,23.506516203703704,4.1
