categoria,total_pedidos,receita_total,ticket_medio_item,frete_medio,percentual_atraso
health_beauty,8836,1441248.07,149.04,18.88,8.87
watches_gifts,5624,1305541.61,217.92,16.78,8.1
bed_bath_table,9417,1241681.72,111.71,18.42,8.28
sports_leisure,7720,1156656.48,133.86,19.51,7.23
computers_accessories,6689,1059272.4,135.34,18.82,7.59
furniture_decor,6449,902511.79,108.29,20.73,8.26
housewares,5884,778397.77,111.77,20.99,6.33
cool_stuff,3632,719329.95,189.5,22.14,6.61
auto,3897,685384.32,161.84,21.88,8.1
garden_tools,3518,584219.21,134.4,22.77,7.82
